time,target_angle,current_angle
0.0008885860443115234,6.19,19.565805288461537
0.052538156509399414,6.99314606741573,19.322415865384613
0.10371160507202148,8.021460674157304,16.766826923076923
0.15448427200317383,9.225505617977527,13.359375
0.2064828872680664,10.555842696629213,10.682091346153845
0.2573091983795166,11.970898876404494,9.830228365384615
0.3085517883300781,13.427078651685393,10.925480769230768
0.35952281951904297,14.877752808988765,12.385817307692308
0.4105112552642822,16.279101123595506,13.724459134615385
0.461439847946167,17.57820224719101,14.94140625
0.5125515460968018,18.745842696629214,16.158353365384613
0.5640590190887451,19.722696629213484,17.13191105769231
0.6148242950439453,20.472359550561798,18.470552884615387
0.6656572818756104,21.007191011235957,19.322415865384613
0.7165827751159668,21.337191011235955,19.322415865384613
0.7674407958984375,21.49179775280899,19.809194711538463
0.818493127822876,21.468988764044944,20.052584134615387
0.870126485824585,21.30247191011236,20.052584134615387
0.9208056926727295,21.008651685393257,20.052584134615387
0.971369743347168,20.597415730337076,20.052584134615387
1.0219762325286865,20.087752808988764,20.052584134615387
1.073373556137085,19.49202247191011,20.052584134615387
1.1240348815917969,18.837191011235955,20.052584134615387
1.175196886062622,18.12797752808989,20.052584134615387
1.2263290882110596,17.378651685393258,20.052584134615387
1.2772090435028076,16.613932584269662,19.565805288461537
1.328087568283081,15.826741573033706,17.25360576923077
1.3787941932678223,15.029775280898876,16.401742788461537
1.4298555850982666,14.246404494382023,16.401742788461537
1.4806034564971924,13.48337078651685,16.036658653846153
1.5311996936798096,12.742696629213484,14.21123798076923
1.5823752880096436,12.043932584269664,13.724459134615385
1.6329309940338135,11.395393258426965,13.724459134615385
1.6834876537322998,10.810337078651683,13.359375
1.7340152263641357,10.289887640449438,11.412259615384615
1.7845702171325684,9.853932584269664,10.925480769230768
1.8351566791534424,9.51056179775281,11.047175480769232
1.8857252597808838,9.277977528089886,11.047175480769232
1.9375934600830078,9.15123595505618,11.047175480769232
1.9882404804229736,9.158089887640449,11.047175480769232
2.0389370918273926,9.305056179775281,11.047175480769232
2.089541435241699,9.595393258426967,11.047175480769232
2.1405091285705566,10.050786516853933,11.047175480769232
2.191213846206665,10.675955056179774,11.047175480769232
2.24210262298584,11.476966292134831,11.047175480769232
2.292712450027466,12.469325842696632,11.047175480769232
2.3433010578155518,13.659213483146067,11.047175480769232
2.3939003944396973,15.07134831460674,12.142427884615385
2.4446723461151123,16.714943820224722,13.967848557692308
2.495422124862671,18.59853932584271,15.184795673076923
2.546037435531616,20.734494382022483,17.13191105769231
2.5966975688934326,23.147865168539326,18.71394230769231
2.647552251815796,25.840000000000014,21.026141826923077
2.698373556137085,28.74528089887641,23.338341346153847
2.7491180896759033,31.82168539325842,25.89393028846154
2.7998011112213135,35.04056179775281,28.32782451923077
2.8504202365875244,38.343932584269666,30.64002403846154
2.901771068572998,41.69258426966294,32.70883413461538
2.9528377056121826,45.030337078651705,35.02103365384615
3.0038342475891113,48.28853932584269,37.45492788461538
3.054918050765991,51.40224719101125,39.76712740384615
3.1058297157287598,54.29808988764046,41.8359375
3.1565558910369873,56.915842696629205,43.90474759615385
3.2072877883911133,59.196516853932586,45.97355769230769
3.258307933807373,61.10820224719101,48.28575721153846
3.309096336364746,62.61134831460675,50.35456730769231
3.360450506210327,63.703707865168546,52.17998798076923
3.4113259315490723,64.35089887640449,54.00540865384615
3.462207555770874,64.53516853932584,56.19591346153846
3.5137202739715576,64.26505617977529,58.62980769230769
3.564789295196533,63.56022471910113,60.21183894230769
3.6154911518096924,62.444719101123596,62.03725961538461
3.666111946105957,60.9423595505618,62.52403846153846
3.716850757598877,59.0729213483146,62.40234375
3.767575740814209,56.861123595505596,62.03725961538461
3.8189234733581543,54.33168539325844,60.57692307692308
3.8697617053985596,51.509325842696626,58.99489182692308
3.920341968536377,48.406404494382,57.04777644230769
